cycle: 0; nbPreys: 200; minEnergyPreys: 0.001402659002467943; maxSizePreys: 0.9957559673296633; nbPredators: 20; minEnergyPredators: 0.05075019234274614; maxSizePredators: 0.9812668405043934
cycle: 1; nbPreys: 194; minEnergyPreys: 0.049441874688742435; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.12294553051261227; maxSizePredators: 1.0
cycle: 2; nbPreys: 193; minEnergyPreys: 0.09846148253187967; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.10294553051261227; maxSizePredators: 1.0
cycle: 3; nbPreys: 187; minEnergyPreys: 0.14846148253187963; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5519107404649142; maxSizePredators: 1.0
cycle: 4; nbPreys: 181; minEnergyPreys: 0.19846148253187962; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5319107404649142; maxSizePredators: 1.0
cycle: 5; nbPreys: 177; minEnergyPreys: 0.20260196229085564; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5119107404649141; maxSizePredators: 1.0
cycle: 6; nbPreys: 175; minEnergyPreys: 0.14602394097276697; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.4919107404649141; maxSizePredators: 1.0
cycle: 7; nbPreys: 169; minEnergyPreys: 0.09994550960021792; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.3133333333333333; maxSizePredators: 1.0
cycle: 8; nbPreys: 172; minEnergyPreys: 0.05484747038453164; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.2933333333333333; maxSizePredators: 1.0
cycle: 9; nbPreys: 166; minEnergyPreys: 0.011710215482570847; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.27333333333333326; maxSizePredators: 1.0
cycle: 10; nbPreys: 159; minEnergyPreys: 0.06367099979629637; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.7533333333333332; maxSizePredators: 1.0
cycle: 11; nbPreys: 151; minEnergyPreys: 0.035935295624189026; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.7333333333333332; maxSizePredators: 1.0
cycle: 12; nbPreys: 163; minEnergyPreys: 0.07769799504512473; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.7133333333333332; maxSizePredators: 1.0
cycle: 13; nbPreys: 154; minEnergyPreys: 0.03750191661375218; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.32; maxSizePredators: 1.0
cycle: 14; nbPreys: 147; minEnergyPreys: 2.4701465296785886E-4; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.3; maxSizePredators: 1.0
cycle: 15; nbPreys: 137; minEnergyPreys: 0.053188191123556036; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.27999999999999997; maxSizePredators: 1.0
cycle: 16; nbPreys: 133; minEnergyPreys: 0.015933289162771685; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.25999999999999995; maxSizePredators: 1.0
cycle: 17; nbPreys: 125; minEnergyPreys: 0.07475681857453646; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.23999999999999996; maxSizePredators: 1.0
cycle: 18; nbPreys: 113; minEnergyPreys: 0.12475681857453647; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.21999999999999997; maxSizePredators: 1.0
cycle: 19; nbPreys: 108; minEnergyPreys: 0.16059455831244696; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.19999999999999998; maxSizePredators: 1.0
cycle: 20; nbPreys: 103; minEnergyPreys: 0.12726122497911357; maxSizePreys: 1.0; nbPredators: 36; minEnergyPredators: 0.18; maxSizePredators: 1.0
cycle: 21; nbPreys: 100; minEnergyPreys: 0.09490828380264295; maxSizePreys: 1.0; nbPredators: 36; minEnergyPredators: 0.16; maxSizePredators: 1.0
cycle: 22; nbPreys: 89; minEnergyPreys: 0.06353573478303509; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.14; maxSizePredators: 1.0
cycle: 23; nbPreys: 82; minEnergyPreys: 0.03412397007715273; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.18666666666666665; maxSizePredators: 1.0
cycle: 24; nbPreys: 74; minEnergyPreys: 0.005692597528133118; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.16666666666666666; maxSizePredators: 1.0
cycle: 25; nbPreys: 71; minEnergyPreys: 0.05569259752813312; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.14666666666666667; maxSizePredators: 1.0
cycle: 26; nbPreys: 72; minEnergyPreys: 0.10000000000000005; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.12666666666666668; maxSizePredators: 1.0
cycle: 27; nbPreys: 72; minEnergyPreys: 0.12721703317523853; maxSizePreys: 1.0; nbPredators: 43; minEnergyPredators: 0.18666666666666665; maxSizePredators: 1.0
cycle: 28; nbPreys: 69; minEnergyPreys: 0.1017268370968071; maxSizePreys: 1.0; nbPredators: 43; minEnergyPredators: 0.16666666666666666; maxSizePredators: 1.0
cycle: 29; nbPreys: 66; minEnergyPreys: 0.07721703317523843; maxSizePreys: 1.0; nbPredators: 43; minEnergyPredators: 0.14666666666666667; maxSizePredators: 1.0
cycle: 30; nbPreys: 65; minEnergyPreys: 0.0536876214105325; maxSizePreys: 1.0; nbPredators: 43; minEnergyPredators: 0.12666666666666668; maxSizePredators: 1.0
cycle: 31; nbPreys: 65; minEnergyPreys: 0.031138601802689323; maxSizePreys: 1.0; nbPredators: 44; minEnergyPredators: 0.10666666666666667; maxSizePredators: 1.0
cycle: 32; nbPreys: 60; minEnergyPreys: 0.0027072292536697087; maxSizePreys: 1.0; nbPredators: 44; minEnergyPredators: 0.08666666666666667; maxSizePredators: 1.0
cycle: 33; nbPreys: 57; minEnergyPreys: 0.07034313725490174; maxSizePreys: 1.0; nbPredators: 44; minEnergyPredators: 0.06666666666666667; maxSizePredators: 1.0
cycle: 34; nbPreys: 53; minEnergyPreys: 0.05073529411764679; maxSizePreys: 1.0; nbPredators: 44; minEnergyPredators: 0.04666666666666666; maxSizePredators: 1.0
cycle: 35; nbPreys: 55; minEnergyPreys: 0.032107843137254594; maxSizePreys: 1.0; nbPredators: 44; minEnergyPredators: 0.02666666666666666; maxSizePredators: 1.0
cycle: 36; nbPreys: 45; minEnergyPreys: 0.014460784313725134; maxSizePreys: 1.0; nbPredators: 44; minEnergyPredators: 0.006666666666666661; maxSizePredators: 1.0
cycle: 37; nbPreys: 42; minEnergyPreys: 0.012499999999999567; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.01999999999999991; maxSizePredators: 1.0
cycle: 38; nbPreys: 37; minEnergyPreys: 0.184313725490196; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.3599999999999999; maxSizePredators: 1.0
cycle: 39; nbPreys: 34; minEnergyPreys: 0.1696078431372548; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.33999999999999986; maxSizePredators: 1.0
cycle: 40; nbPreys: 30; minEnergyPreys: 0.1558823529411763; maxSizePreys: 1.0; nbPredators: 39; minEnergyPredators: 0.31999999999999984; maxSizePredators: 1.0
cycle: 41; nbPreys: 31; minEnergyPreys: 0.1431372549019606; maxSizePreys: 1.0; nbPredators: 44; minEnergyPredators: 0.2999999999999998; maxSizePredators: 1.0
cycle: 42; nbPreys: 28; minEnergyPreys: 0.1333333333333331; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.2799999999999998; maxSizePredators: 1.0
cycle: 43; nbPreys: 24; minEnergyPreys: 0.18333333333333313; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.2599999999999998; maxSizePredators: 1.0
